"Column","Metafile heading","Metafile description","Null field for Record Type = 3 (Sixth form centre / consortium)","Null field for Local Authority","Null field for National records"
"1","RECTYPE","Record type (1=institution; 3=sixth form centre/consortium (see separate list of the sixth form centres and consortia and their feeder schools) ; 4=Local Authority; 5=National (all schools and colleges); 7=National (maintained schools and FE Colleges)) ","","",""
"2","ALPHAIND","Alphabetical sorting index","","Yes","Yes"
"3","REGION","Region code (see separate list of region and Local Authority codes)","","","Yes"
"4","LASORT","Local Authority sort code within region","Yes","","Yes"
"5","LEA","Local Authority code (see separate list of region and Local Authority codes) ","","","Yes"
"6","ESTAB","Establishment number","","Yes","Yes"
"7","URN","Establishment URN number","","Yes","Yes"
"8","SCHNAME_AC","Institution name of converter academy","Yes","Yes","Yes"
"9","SCHNAME","Institution name","","Yes","Yes"
"10","ADDRESS1","Institution address (1)","Yes","Yes","Yes"
"11","ADDRESS2","Institution address (2)","Yes","Yes","Yes"
"12","ADDRESS3","Institution address (3)","Yes","Yes","Yes"
"13","TOWN","Institution TOWN","Yes","Yes","Yes"
"14","PCODE","Institution postcode","Yes","Yes","Yes"
"15","TELNUM","Institution telephone number ","Yes","Yes","Yes"
"16","CONTFLAG","Contingency flag - institution results 'significantly affected'. This field is zero for all schools. ","Yes","","Yes"
"17","NFTYPE","Institution type (see separate list of abbreviations used in the Tables)","Yes","Yes","Yes"
"18","RELDENOM","Religious character","Yes","Yes","Yes"
"19","ADMPOL","Admissions policy (COMP=Comprehensive,MOD=Modern,SEL=Selective,NA=Not applicable,"BLANK"=Independent)","Yes","Yes","Yes"
"20","GENDER1618","Gender of sixth form ('GIRLS', 'BOYS' or 'MIXED')","Yes","Yes","Yes"
"21","FEEDER","Indicates whether school is a feeder school for sixth form centre/consortia (symbol used is '=')","Yes","Yes","Yes"
"22","AGERANGE","Age range","Yes","Yes","Yes"
"23","ICLOSE","Closed institution flag (0=open; 1=closed)","Yes","Yes","Yes"
"24","TABKS2","Indicates whether institution is published in the Primary School (Key Stage 2) Performance Tables (0=No; 1=Yes)","Yes","Yes","Yes"
"25","TAB15","Indicates whether institution is published in the Secondary School (Key Stage 4) Performance Tables (0=No; 1=Yes)","Yes","Yes","Yes"
"26","EXAMCONF","Flag ('R') indicates no confirmation that school has checked its results ","Yes","Yes","Yes"
"27","DUMMY1","Dummy field","Yes","Yes","Yes"
"28","TPUP1618","Number of students aged 16-18","Yes","Yes","Yes"
"29","TALLPUPA","Number of students at the end of A/AS or equivalent study","","Yes","Yes"
"30","TALLPPSA","Average point score per student","","",""
"31","TALLPPEA","Average point score per examination entry","","",""
"32","PTPASS1L3","Percentage KS5 students achieving at least one Level 3 qualification","","",""
"33","PTPASS2LV3","Percentage KS5 students achieving 2 or more A-levels at A*-E or equivalent","","",""
"34","PTPASS3LV3","Percentage KS5 students achieving 3 or more A-levels at A*-E or equivalent","","",""
"35","TALLPPS08","Average point score per student - 2008","","",""
"36","TALLPPS09","Average point score per student - 2009","","",""
"37","TALLPPS10","Average point score per student - 2010","","",""
"38","TALLPPE08","Average point score per examination entry - 2008","","",""
"39","TALLPPE09","Average point score per examination entry - 2009","","",""
"40","TALLPPE10","Average point score per examination entry - 2010","","",""
